"","iso3c","date","iso2c","country","date_ct","granularity","GB.XPD.RSDV.GD.ZS","IP.JRN.ARTC.SC","NY.GDP.PCAP.PP.CD","SP.POP.TOTL"
"76","ARG","2010","AR","Argentina",2010-01-01,"annual",0.56126,7472.5,18333.5436985461,41223889
"77","ARG","2011","AR","Argentina",2011-01-01,"annual",0.56648,7961.9,19629.3518451916,41656879
"78","ARG","2012","AR","Argentina",2012-01-01,"annual",0.63596,8205.1,19579.0064837139,42096739
"79","ARG","2013","AR","Argentina",2013-01-01,"annual",0.62017,8268.5,20161.4968324254,42539925
"80","ARG","2014","AR","Argentina",2014-01-01,"annual",0.58852,8955.3,19762.8926098733,42981515
"81","ARM","2005","AM","Armenia",2005-01-01,"annual",0.25794,390,4769.48900409301,2981259
"82","ARM","2006","AM","Armenia",2006-01-01,"annual",0.24023,360.3,5607.6458691567,2958500
"83","ARM","2007","AM","Armenia",2007-01-01,"annual",0.21102,400.5,6605.21669618151,2933056
"84","ARM","2008","AM","Armenia",2008-01-01,"annual",0.22427,394.5,7260.96875587368,2908220
"85","ARM","2009","AM","Armenia",2009-01-01,"annual",0.29109,446.5,6323.57833605451,2888584
"86","ARM","2010","AM","Armenia",2010-01-01,"annual",0.2414,494.3,6567.25858179835,2877311
"87","ARM","2011","AM","Armenia",2011-01-01,"annual",0.27,618.6,7022.10394338388,2875581
"88","ARM","2012","AM","Armenia",2012-01-01,"annual",0.23833,550.5,7649.49140943212,2881922
"89","ARM","2013","AM","Armenia",2013-01-01,"annual",0.22195,552,7997.38712848925,2893509
"90","ARM","2014","AM","Armenia",2014-01-01,"annual",0.24144,559.1,8380.47324213916,2906220
"91","ASM","2005","AS","American Samoa",2005-01-01,"annual",NA,NA,NA,59118
"92","ASM","2006","AS","American Samoa",2006-01-01,"annual",NA,NA,NA,58650
"93","ASM","2007","AS","American Samoa",2007-01-01,"annual",NA,NA,NA,57903
"94","ASM","2008","AS","American Samoa",2008-01-01,"annual",NA,NA,NA,57030
"95","ASM","2009","AS","American Samoa",2009-01-01,"annual",NA,NA,NA,56227
"96","ASM","2010","AS","American Samoa",2010-01-01,"annual",NA,NA,NA,55637
"97","ASM","2011","AS","American Samoa",2011-01-01,"annual",NA,NA,NA,55320
"98","ASM","2012","AS","American Samoa",2012-01-01,"annual",NA,NA,NA,55230
"99","ASM","2013","AS","American Samoa",2013-01-01,"annual",NA,NA,NA,55307
"100","ASM","2014","AS","American Samoa",2014-01-01,"annual",NA,NA,NA,55437
"101","ATG","2005","AG","Antigua and Barbuda",2005-01-01,"annual",NA,1.8,18065.8050265153,89253
"102","ATG","2006","AG","Antigua and Barbuda",2006-01-01,"annual",NA,1.6,20747.3755869909,90301
"103","ATG","2007","AG","Antigua and Barbuda",2007-01-01,"annual",NA,4.3,22996.7058021285,91381
"104","ATG","2008","AG","Antigua and Barbuda",2008-01-01,"annual",NA,6.3,23162.685755127,92478
"105","ATG","2009","AG","Antigua and Barbuda",2009-01-01,"annual",NA,3.8,20271.086351499,93581
"106","ATG","2010","AG","Antigua and Barbuda",2010-01-01,"annual",NA,2.2,18824.073146248,94661
"107","ATG","2011","AG","Antigua and Barbuda",2011-01-01,"annual",NA,0.8,18605.3167543472,95719
"108","ATG","2012","AG","Antigua and Barbuda",2012-01-01,"annual",NA,2.5,19398.0594771818,96777
"109","ATG","2013","AG","Antigua and Barbuda",2013-01-01,"annual",NA,1.9,19480.1025975588,97824
"110","ATG","2014","AG","Antigua and Barbuda",2014-01-01,"annual",NA,2.5,20579.0448172429,98875
"111","AUS","2005","AU","Australia",2005-01-01,"annual",NA,31031.7,32591.8093540183,20394800
"112","AUS","2006","AU","Australia",2006-01-01,"annual",2.18208,33100.4,34385.6154114754,20697900
"113","AUS","2007","AU","Australia",2007-01-01,"annual",NA,35798.6,36589.7250359251,20827600
"114","AUS","2008","AU","Australia",2008-01-01,"annual",2.39823,36822.3,37506.9068217268,21249200
"115","AUS","2009","AU","Australia",2009-01-01,"annual",NA,38996.2,40265.6896327033,21691700
"116","AUS","2010","AU","Australia",2010-01-01,"annual",2.37808,41564.9,39227.2685360072,22031750
"117","AUS","2011","AU","Australia",2011-01-01,"annual",2.24574,44378.3,41782.2849420662,22340024
"118","AUS","2012","AU","Australia",2012-01-01,"annual",NA,46386.8,42589.5007993274,22728254
"119","AUS","2013","AU","Australia",2013-01-01,"annual",2.20207,49921.9,45604.7339773005,23117353
"120","AUS","2014","AU","Australia",2014-01-01,"annual",NA,52643.6,46571.8569849469,23460694
"121","AUT","2005","AT","Austria",2005-01-01,"annual",2.38332,8903.4,35013.7140443423,8227829
"122","AUT","2006","AT","Austria",2006-01-01,"annual",2.37541,9155.2,37627.9709197097,8268641
"123","AUT","2007","AT","Austria",2007-01-01,"annual",2.4354,9882.7,39385.7422696764,8295487
"124","AUT","2008","AT","Austria",2008-01-01,"annual",2.58495,10334.3,41316.225176699,8321496
"125","AUT","2009","AT","Austria",2009-01-01,"annual",2.6153,10941.2,40919.1505775576,8343323
"126","AUT","2010","AT","Austria",2010-01-01,"annual",2.73439,11214.8,42047.0326758635,8363404
"127","AUT","2011","AT","Austria",2011-01-01,"annual",2.67843,11824.8,44452.7327457999,8391643
"128","AUT","2012","AT","Austria",2012-01-01,"annual",2.92992,12358.5,46457.3457770311,8429991
